127.0.0.1 - - [15/Mar/2024:10:50:22 +0630] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Mar/2024:10:50:25 +0630] "GET /ConvenienceManagementSystem/ HTTP/1.1" 200 4376
0:0:0:0:0:0:0:1 - - [15/Mar/2024:10:50:34 +0630] "POST /ConvenienceManagementSystem/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:10:50:35 +0630] "GET /ConvenienceManagementSystem/owner HTTP/1.1" 200 4738
0:0:0:0:0:0:0:1 - - [15/Mar/2024:10:50:35 +0630] "GET /ConvenienceManagementSystem/resources/css/style.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [15/Mar/2024:10:50:35 +0630] "GET /ConvenienceManagementSystem/resources/css/bootstrap.min.css HTTP/1.1" 200 279511
0:0:0:0:0:0:0:1 - - [15/Mar/2024:10:50:35 +0630] "GET /ConvenienceManagementSystem/resources/js/bootstrap.min.js HTTP/1.1" 200 60583
0:0:0:0:0:0:0:1 - - [15/Mar/2024:10:51:40 +0630] "GET /ConvenienceManagementSystem/products/ HTTP/1.1" 200 2594502
0:0:0:0:0:0:0:1 - - [15/Mar/2024:10:51:53 +0630] "GET /ConvenienceManagementSystem/products/add HTTP/1.1" 200 8741
0:0:0:0:0:0:0:1 - - [15/Mar/2024:10:51:53 +0630] "GET /ConvenienceManagementSystem/resources/css/sucessful.css HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [15/Mar/2024:10:52:16 +0630] "POST /ConvenienceManagementSystem/products/add HTTP/1.1" 200 8140
0:0:0:0:0:0:0:1 - - [15/Mar/2024:10:53:09 +0630] "POST /ConvenienceManagementSystem/products/add HTTP/1.1" 200 8140
0:0:0:0:0:0:0:1 - - [15/Mar/2024:10:53:13 +0630] "GET /ConvenienceManagementSystem/products/add HTTP/1.1" 200 8741
0:0:0:0:0:0:0:1 - - [15/Mar/2024:10:54:56 +0630] "GET /ConvenienceManagementSystem/logout/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:10:54:56 +0630] "GET /ConvenienceManagementSystem/ HTTP/1.1" 200 4376
0:0:0:0:0:0:0:1 - - [15/Mar/2024:10:57:36 +0630] "POST /ConvenienceManagementSystem/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:10:57:36 +0630] "GET /ConvenienceManagementSystem/owner HTTP/1.1" 200 4738
0:0:0:0:0:0:0:1 - - [15/Mar/2024:10:57:39 +0630] "GET /ConvenienceManagementSystem/products/ HTTP/1.1" 200 2594502
0:0:0:0:0:0:0:1 - - [15/Mar/2024:10:57:43 +0630] "GET /ConvenienceManagementSystem/products/add HTTP/1.1" 200 8741
0:0:0:0:0:0:0:1 - - [15/Mar/2024:10:58:13 +0630] "POST /ConvenienceManagementSystem/products/add HTTP/1.1" 200 8182
0:0:0:0:0:0:0:1 - - [15/Mar/2024:10:58:17 +0630] "GET /ConvenienceManagementSystem/products/add HTTP/1.1" 200 8741
0:0:0:0:0:0:0:1 - - [15/Mar/2024:10:58:58 +0630] "GET /ConvenienceManagementSystem/products/add HTTP/1.1" 200 8741
0:0:0:0:0:0:0:1 - - [15/Mar/2024:10:59:14 +0630] "POST /ConvenienceManagementSystem/products/add HTTP/1.1" 200 8182
0:0:0:0:0:0:0:1 - - [15/Mar/2024:11:09:27 +0630] "GET /ConvenienceManagementSystem/products/add HTTP/1.1" 200 8741
